#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.225742E+00   0.903035E+06   0.898084E+06  -0.423324E+00  -0.431689E+00   0.231362E+05   0.898295E+06   0.902257E+06   0.898295E+06  -0.214593E-01   0.474982E+06   0.474927E+06   0.806678E-01
   0.231130E+00   0.871602E+06   0.866758E+06  -0.389764E+00  -0.397466E+00   0.214943E+05   0.867013E+06   0.870841E+06   0.867013E+06  -0.207120E-01   0.458442E+06   0.458389E+06   0.765543E-01
   0.236518E+00   0.844492E+06   0.839870E+06  -0.360641E+00  -0.367767E+00   0.200608E+05   0.840053E+06   0.843766E+06   0.840053E+06  -0.200680E-01   0.444188E+06   0.444137E+06   0.712391E-01
   0.241906E+00   0.820933E+06   0.816610E+06  -0.335151E+00  -0.341773E+00   0.187983E+05   0.816641E+06   0.820254E+06   0.816641E+06  -0.195087E-01   0.431809E+06   0.431762E+06   0.653623E-01
   0.247295E+00   0.799764E+06   0.795761E+06  -0.312451E+00  -0.318624E+00   0.176657E+05   0.795613E+06   0.799135E+06   0.795613E+06  -0.190064E-01   0.420691E+06   0.420647E+06   0.596396E-01
   0.252683E+00   0.779696E+06   0.775983E+06  -0.291772E+00  -0.297537E+00   0.166239E+05   0.775676E+06   0.779112E+06   0.775676E+06  -0.185301E-01   0.410149E+06   0.410108E+06   0.546651E-01
   0.258071E+00   0.759598E+06   0.756108E+06  -0.272515E+00  -0.277900E+00   0.156421E+05   0.755699E+06   0.759049E+06   0.755699E+06  -0.180528E-01   0.399587E+06   0.399547E+06   0.507852E-01
   0.263459E+00   0.738827E+06   0.735476E+06  -0.254338E+00  -0.259363E+00   0.147033E+05   0.735040E+06   0.738301E+06   0.735040E+06  -0.175593E-01   0.388663E+06   0.388626E+06   0.480617E-01
   0.268847E+00   0.717358E+06   0.714067E+06  -0.237149E+00  -0.241835E+00   0.138043E+05   0.713672E+06   0.716841E+06   0.713672E+06  -0.170489E-01   0.377366E+06   0.377329E+06   0.463101E-01
   0.274236E+00   0.695592E+06   0.692306E+06  -0.221005E+00  -0.225372E+00   0.129502E+05   0.692001E+06   0.695076E+06   0.692001E+06  -0.165312E-01   0.365908E+06   0.365870E+06   0.451870E-01
   0.279624E+00   0.674084E+06   0.670779E+06  -0.205995E+00  -0.210065E+00   0.121483E+05   0.670584E+06   0.673565E+06   0.670584E+06  -0.160195E-01   0.354584E+06   0.354547E+06   0.442995E-01
   0.285012E+00   0.653411E+06   0.650094E+06  -0.192197E+00  -0.195994E+00   0.114049E+05   0.649999E+06   0.652890E+06   0.649999E+06  -0.155278E-01   0.343699E+06   0.343662E+06   0.433082E-01
   0.290400E+00   0.634102E+06   0.630805E+06  -0.179659E+00  -0.183208E+00   0.107249E+05   0.630777E+06   0.633584E+06   0.630777E+06  -0.150686E-01   0.333536E+06   0.333499E+06   0.419977E-01
   0.295788E+00   0.616507E+06   0.613272E+06  -0.168369E+00  -0.171695E+00   0.101093E+05   0.613268E+06   0.615999E+06   0.613268E+06  -0.146503E-01   0.324278E+06   0.324243E+06   0.403021E-01
   0.301177E+00   0.600654E+06   0.597520E+06  -0.158224E+00  -0.161350E+00   0.955362E+04   0.597500E+06   0.600162E+06   0.597500E+06  -0.142736E-01   0.315941E+06   0.315906E+06   0.382877E-01
   0.306565E+00   0.586259E+06   0.583255E+06  -0.149055E+00  -0.151999E+00   0.904892E+04   0.583188E+06   0.585787E+06   0.583188E+06  -0.139317E-01   0.308373E+06   0.308340E+06   0.361086E-01
   0.311953E+00   0.572886E+06   0.570021E+06  -0.140670E+00  -0.143449E+00   0.858492E+04   0.569894E+06   0.572436E+06   0.569894E+06  -0.136142E-01   0.301344E+06   0.301313E+06   0.339520E-01
   0.317341E+00   0.560103E+06   0.557371E+06  -0.132904E+00  -0.135529E+00   0.815239E+04   0.557188E+06   0.559674E+06   0.557188E+06  -0.133106E-01   0.294626E+06   0.294595E+06   0.319857E-01
   0.322729E+00   0.547556E+06   0.544934E+06  -0.125627E+00  -0.128108E+00   0.774415E+04   0.544713E+06   0.547144E+06   0.544713E+06  -0.130126E-01   0.288030E+06   0.288000E+06   0.303196E-01
   0.328118E+00   0.534997E+06   0.532456E+06  -0.118749E+00  -0.121095E+00   0.735529E+04   0.532221E+06   0.534598E+06   0.532221E+06  -0.127142E-01   0.281425E+06   0.281396E+06   0.289880E-01
   0.333506E+00   0.522325E+06   0.519838E+06  -0.112221E+00  -0.114438E+00   0.698330E+04   0.519614E+06   0.521935E+06   0.519614E+06  -0.124130E-01   0.274758E+06   0.274730E+06   0.279551E-01
   0.338894E+00   0.509613E+06   0.507157E+06  -0.106036E+00  -0.108130E+00   0.662820E+04   0.506962E+06   0.509227E+06   0.506962E+06  -0.121108E-01   0.268069E+06   0.268041E+06   0.271361E-01
   0.344282E+00   0.497065E+06   0.494629E+06  -0.100212E+00  -0.102192E+00   0.629165E+04   0.494472E+06   0.496682E+06   0.494472E+06  -0.118124E-01   0.261465E+06   0.261437E+06   0.264263E-01
   0.349670E+00   0.484921E+06   0.482504E+06  -0.947739E-01  -0.966461E-01   0.597553E+04   0.482384E+06   0.484541E+06   0.482384E+06  -0.115236E-01   0.255073E+06   0.255046E+06   0.257289E-01
   0.355059E+00   0.473364E+06   0.470974E+06  -0.897285E-01  -0.915010E-01   0.568082E+04   0.470882E+06   0.472989E+06   0.470882E+06  -0.112489E-01   0.248992E+06   0.248965E+06   0.249747E-01
   0.360447E+00   0.462488E+06   0.460139E+06  -0.850657E-01  -0.867461E-01   0.540726E+04   0.460061E+06   0.462119E+06   0.460061E+06  -0.109904E-01   0.243270E+06   0.243243E+06   0.241327E-01
   0.365835E+00   0.452307E+06   0.450012E+06  -0.807610E-01  -0.823564E-01   0.515372E+04   0.449933E+06   0.451947E+06   0.449933E+06  -0.107484E-01   0.237914E+06   0.237889E+06   0.232103E-01
   0.371223E+00   0.442769E+06   0.440538E+06  -0.767805E-01  -0.782972E-01   0.491834E+04   0.440447E+06   0.442419E+06   0.440447E+06  -0.105218E-01   0.232899E+06   0.232874E+06   0.222433E-01
   0.376611E+00   0.433762E+06   0.431599E+06  -0.730824E-01  -0.745261E-01   0.469877E+04   0.431490E+06   0.433422E+06   0.431490E+06  -0.103078E-01   0.228162E+06   0.228138E+06   0.212811E-01
   0.382000E+00   0.425128E+06   0.423032E+06  -0.696222E-01  -0.709975E-01   0.449243E+04   0.422904E+06   0.424798E+06   0.422904E+06  -0.101027E-01   0.223622E+06   0.223599E+06   0.203715E-01
   0.387388E+00   0.416713E+06   0.414678E+06  -0.663597E-01  -0.676705E-01   0.429692E+04   0.414536E+06   0.416393E+06   0.414536E+06  -0.990282E-02   0.219198E+06   0.219175E+06   0.195494E-01
   0.392776E+00   0.408410E+06   0.406426E+06  -0.632659E-01  -0.645156E-01   0.411059E+04   0.406278E+06   0.408099E+06   0.406278E+06  -0.970555E-02   0.214831E+06   0.214809E+06   0.188302E-01
   0.398164E+00   0.400181E+06   0.398237E+06  -0.603250E-01  -0.615166E-01   0.393254E+04   0.398091E+06   0.399876E+06   0.398091E+06  -0.950998E-02   0.210502E+06   0.210481E+06   0.182100E-01
   0.403552E+00   0.392042E+06   0.390130E+06  -0.575305E-01  -0.586669E-01   0.376252E+04   0.389993E+06   0.391741E+06   0.389993E+06  -0.931651E-02   0.206220E+06   0.206199E+06   0.176693E-01
   0.408940E+00   0.384041E+06   0.382155E+06  -0.548812E-01  -0.559652E-01   0.360058E+04   0.382031E+06   0.383745E+06   0.382031E+06  -0.912633E-02   0.202011E+06   0.201989E+06   0.171801E-01
   0.414329E+00   0.376239E+06   0.374378E+06  -0.523768E-01  -0.534114E-01   0.344685E+04   0.374267E+06   0.375946E+06   0.374267E+06  -0.894086E-02   0.197905E+06   0.197885E+06   0.167137E-01
   0.419717E+00   0.368694E+06   0.366859E+06  -0.500171E-01  -0.510051E-01   0.330145E+04   0.366760E+06   0.368406E+06   0.366760E+06  -0.876151E-02   0.193936E+06   0.193915E+06   0.162472E-01
   0.425105E+00   0.361455E+06   0.359649E+06  -0.478000E-01  -0.487442E-01   0.316434E+04   0.359558E+06   0.361171E+06   0.359558E+06  -0.858945E-02   0.190127E+06   0.190107E+06   0.157681E-01
   0.430493E+00   0.354546E+06   0.352773E+06  -0.457202E-01  -0.466233E-01   0.303530E+04   0.352685E+06   0.354268E+06   0.352685E+06  -0.842526E-02   0.186493E+06   0.186473E+06   0.152744E-01
   0.435881E+00   0.347953E+06   0.346217E+06  -0.437677E-01  -0.446323E-01   0.291379E+04   0.346126E+06   0.347680E+06   0.346126E+06  -0.826859E-02   0.183025E+06   0.183006E+06   0.147727E-01
   0.441270E+00   0.341629E+06   0.339931E+06  -0.419295E-01  -0.427577E-01   0.279901E+04   0.339836E+06   0.341362E+06   0.339836E+06  -0.811833E-02   0.179699E+06   0.179680E+06   0.142750E-01
   0.446658E+00   0.335520E+06   0.333860E+06  -0.401924E-01  -0.409863E-01   0.269018E+04   0.333760E+06   0.335259E+06   0.333760E+06  -0.797318E-02   0.176486E+06   0.176468E+06   0.137946E-01
   0.452046E+00   0.329583E+06   0.327960E+06  -0.385458E-01  -0.393072E-01   0.258667E+04   0.327855E+06   0.329328E+06   0.327855E+06  -0.783211E-02   0.173364E+06   0.173346E+06   0.133426E-01
   0.457434E+00   0.323783E+06   0.322193E+06  -0.369809E-01  -0.377114E-01   0.248795E+04   0.322086E+06   0.323533E+06   0.322086E+06  -0.769430E-02   0.170313E+06   0.170296E+06   0.129254E-01
   0.462822E+00   0.318090E+06   0.316530E+06  -0.354899E-01  -0.361909E-01   0.239355E+04   0.316424E+06   0.317845E+06   0.316424E+06  -0.755903E-02   0.167319E+06   0.167302E+06   0.125437E-01
   0.468211E+00   0.312489E+06   0.310955E+06  -0.340672E-01  -0.347401E-01   0.230316E+04   0.310851E+06   0.312248E+06   0.310851E+06  -0.742591E-02   0.164373E+06   0.164356E+06   0.121934E-01
   0.473599E+00   0.306988E+06   0.305478E+06  -0.327103E-01  -0.333564E-01   0.221666E+04   0.305378E+06   0.306751E+06   0.305378E+06  -0.729517E-02   0.161479E+06   0.161462E+06   0.118672E-01
   0.478987E+00   0.301613E+06   0.300125E+06  -0.314187E-01  -0.320393E-01   0.213406E+04   0.300031E+06   0.301379E+06   0.300031E+06  -0.716742E-02   0.158651E+06   0.158635E+06   0.115570E-01
   0.484375E+00   0.296387E+06   0.294920E+06  -0.301912E-01  -0.307876E-01   0.205532E+04   0.294831E+06   0.296157E+06   0.294831E+06  -0.704320E-02   0.155902E+06   0.155885E+06   0.112555E-01
   0.489763E+00   0.291320E+06   0.289875E+06  -0.290257E-01  -0.295991E-01   0.198035E+04   0.289790E+06   0.291093E+06   0.289790E+06  -0.692277E-02   0.153236E+06   0.153220E+06   0.109576E-01
   0.495152E+00   0.286414E+06   0.284992E+06  -0.279193E-01  -0.284707E-01   0.190899E+04   0.284909E+06   0.286190E+06   0.284909E+06  -0.680617E-02   0.150655E+06   0.150639E+06   0.106611E-01
   0.500540E+00   0.281668E+06   0.280270E+06  -0.268688E-01  -0.273995E-01   0.184105E+04   0.280188E+06   0.281448E+06   0.280188E+06  -0.669340E-02   0.148159E+06   0.148144E+06   0.103665E-01
   0.505928E+00   0.277077E+06   0.275704E+06  -0.258710E-01  -0.263820E-01   0.177636E+04   0.275622E+06   0.276862E+06   0.275622E+06  -0.658432E-02   0.145744E+06   0.145729E+06   0.100765E-01
   0.511316E+00   0.272627E+06   0.271279E+06  -0.249219E-01  -0.254142E-01   0.171466E+04   0.271195E+06   0.272415E+06   0.271195E+06  -0.647856E-02   0.143404E+06   0.143389E+06   0.979439E-02
   0.516704E+00   0.268295E+06   0.266971E+06  -0.240172E-01  -0.244915E-01   0.165570E+04   0.266886E+06   0.268087E+06   0.266886E+06  -0.637563E-02   0.141125E+06   0.141111E+06   0.952345E-02
   0.522093E+00   0.264062E+06   0.262761E+06  -0.231529E-01  -0.236102E-01   0.159923E+04   0.262676E+06   0.263858E+06   0.262676E+06  -0.627505E-02   0.138899E+06   0.138884E+06   0.926580E-02
   0.527481E+00   0.259917E+06   0.258637E+06  -0.223263E-01  -0.227673E-01   0.154507E+04   0.258552E+06   0.259716E+06   0.258552E+06  -0.617654E-02   0.136718E+06   0.136704E+06   0.902224E-02
   0.532869E+00   0.255856E+06   0.254596E+06  -0.215354E-01  -0.219607E-01   0.149311E+04   0.254513E+06   0.255659E+06   0.254513E+06  -0.608005E-02   0.134583E+06   0.134569E+06   0.879221E-02
   0.538257E+00   0.251881E+06   0.250639E+06  -0.207784E-01  -0.211888E-01   0.144327E+04   0.250558E+06   0.251686E+06   0.250558E+06  -0.598556E-02   0.132491E+06   0.132477E+06   0.857399E-02
   0.543645E+00   0.247989E+06   0.246766E+06  -0.200539E-01  -0.204500E-01   0.139543E+04   0.246686E+06   0.247797E+06   0.246686E+06  -0.589307E-02   0.130444E+06   0.130430E+06   0.836521E-02
   0.549034E+00   0.244184E+06   0.242978E+06  -0.193606E-01  -0.197430E-01   0.134955E+04   0.242901E+06   0.243994E+06   0.242901E+06  -0.580264E-02   0.128442E+06   0.128429E+06   0.816350E-02
   0.554422E+00   0.240471E+06   0.239282E+06  -0.186974E-01  -0.190667E-01   0.130557E+04   0.239207E+06   0.240284E+06   0.239207E+06  -0.571441E-02   0.126489E+06   0.126476E+06   0.796702E-02
   0.559810E+00   0.236856E+06   0.235684E+06  -0.180636E-01  -0.184203E-01   0.126344E+04   0.235611E+06   0.236672E+06   0.235611E+06  -0.562850E-02   0.124588E+06   0.124575E+06   0.777467E-02
   0.565198E+00   0.233339E+06   0.232184E+06  -0.174577E-01  -0.178025E-01   0.122308E+04   0.232112E+06   0.233157E+06   0.232112E+06  -0.554491E-02   0.122738E+06   0.122725E+06   0.758610E-02
   0.570586E+00   0.229913E+06   0.228776E+06  -0.168781E-01  -0.172114E-01   0.118439E+04   0.228704E+06   0.229734E+06   0.228704E+06  -0.546350E-02   0.120936E+06   0.120923E+06   0.740154E-02
   0.575975E+00   0.226571E+06   0.225451E+06  -0.163230E-01  -0.166454E-01   0.114727E+04   0.225380E+06   0.226395E+06   0.225380E+06  -0.538409E-02   0.119178E+06   0.119165E+06   0.722167E-02
   0.581363E+00   0.223308E+06   0.222206E+06  -0.157912E-01  -0.161031E-01   0.111162E+04   0.222135E+06   0.223135E+06   0.222135E+06  -0.530656E-02   0.117462E+06   0.117449E+06   0.704733E-02
   0.586751E+00   0.220122E+06   0.219035E+06  -0.152813E-01  -0.155831E-01   0.107737E+04   0.218965E+06   0.219951E+06   0.218965E+06  -0.523083E-02   0.115785E+06   0.115773E+06   0.687921E-02
   0.592139E+00   0.217005E+06   0.215934E+06  -0.147920E-01  -0.150842E-01   0.104444E+04   0.215864E+06   0.216837E+06   0.215864E+06  -0.515676E-02   0.114146E+06   0.114134E+06   0.671765E-02
   0.597527E+00   0.213951E+06   0.212896E+06  -0.143220E-01  -0.146049E-01   0.101275E+04   0.212826E+06   0.213785E+06   0.212826E+06  -0.508419E-02   0.112540E+06   0.112528E+06   0.656255E-02
   0.602916E+00   0.210956E+06   0.209916E+06  -0.138703E-01  -0.141443E-01   0.982228E+03   0.209847E+06   0.210793E+06   0.209847E+06  -0.501303E-02   0.110964E+06   0.110953E+06   0.641349E-02
   0.608304E+00   0.208022E+06   0.206996E+06  -0.134362E-01  -0.137016E-01   0.952836E+03   0.206929E+06   0.207861E+06   0.206929E+06  -0.494330E-02   0.109421E+06   0.109410E+06   0.626986E-02
   0.613692E+00   0.205151E+06   0.204139E+06  -0.130191E-01  -0.132763E-01   0.924545E+03   0.204072E+06   0.204992E+06   0.204072E+06  -0.487508E-02   0.107911E+06   0.107900E+06   0.613098E-02
   0.619080E+00   0.202343E+06   0.201344E+06  -0.126184E-01  -0.128676E-01   0.897314E+03   0.201279E+06   0.202186E+06   0.201279E+06  -0.480834E-02   0.106434E+06   0.106423E+06   0.599616E-02
   0.624468E+00   0.199595E+06   0.198610E+06  -0.122332E-01  -0.124748E-01   0.871090E+03   0.198546E+06   0.199441E+06   0.198546E+06  -0.474305E-02   0.104988E+06   0.104977E+06   0.586485E-02
   0.629856E+00   0.196907E+06   0.195934E+06  -0.118628E-01  -0.120971E-01   0.845835E+03   0.195871E+06   0.196754E+06   0.195871E+06  -0.467916E-02   0.103574E+06   0.103563E+06   0.573675E-02
   0.681274E+00   0.173944E+06   0.173086E+06  -0.895741E-02  -0.913432E-02   0.646057E+03   0.173029E+06   0.173809E+06   0.173029E+06  -0.413348E-02   0.914956E+05   0.914860E+05   0.468109E-02
   0.736889E+00   0.153525E+06   0.152767E+06  -0.675763E-02  -0.689109E-02   0.492552E+03   0.152716E+06   0.153406E+06   0.152716E+06  -0.364823E-02   0.807546E+05   0.807462E+05   0.381849E-02
   0.797043E+00   0.135398E+06   0.134730E+06  -0.509415E-02  -0.519476E-02   0.374888E+03   0.134685E+06   0.135293E+06   0.134685E+06  -0.321747E-02   0.712197E+05   0.712123E+05   0.311279E-02
   0.862109E+00   0.119322E+06   0.118734E+06  -0.383730E-02  -0.391309E-02   0.284876E+03   0.118694E+06   0.119230E+06   0.118694E+06  -0.283547E-02   0.627641E+05   0.627575E+05   0.253549E-02
   0.932485E+00   0.105080E+06   0.104561E+06  -0.288845E-02  -0.294550E-02   0.216146E+03   0.104526E+06   0.104998E+06   0.104526E+06  -0.249702E-02   0.552723E+05   0.552665E+05   0.206372E-02
   0.100861E+01   0.924742E+05   0.920180E+05  -0.217275E-02  -0.221566E-02   0.163764E+03   0.919868E+05   0.924025E+05   0.919868E+05  -0.219747E-02   0.486417E+05   0.486367E+05   0.167857E-02
   0.109094E+01   0.813262E+05   0.809251E+05  -0.163328E-02  -0.166554E-02   0.123907E+03   0.808975E+05   0.812632E+05   0.808975E+05  -0.193256E-02   0.427778E+05   0.427734E+05   0.136435E-02
   0.118000E+01   0.714756E+05   0.711231E+05  -0.122696E-02  -0.125119E-02   0.936292E+02   0.710988E+05   0.714203E+05   0.710988E+05  -0.169847E-02   0.375964E+05   0.375925E+05   0.110821E-02
   0.127633E+01   0.627804E+05   0.624709E+05  -0.921169E-03  -0.939361E-03   0.706655E+02   0.624494E+05   0.627318E+05   0.624494E+05  -0.149185E-02   0.330227E+05   0.330193E+05   0.899589E-03
   0.138052E+01   0.551094E+05   0.548377E+05  -0.691165E-03  -0.704815E-03   0.532721E+02   0.548188E+05   0.550667E+05   0.548188E+05  -0.130956E-02   0.289877E+05   0.289847E+05   0.729770E-03
   0.149322E+01   0.483480E+05   0.481096E+05  -0.518293E-03  -0.528529E-03   0.401165E+02   0.480930E+05   0.483105E+05   0.480930E+05  -0.114889E-02   0.254312E+05   0.254285E+05   0.591644E-03
   0.161511E+01   0.423925E+05   0.421835E+05  -0.388443E-03  -0.396114E-03   0.301791E+02   0.421689E+05   0.423597E+05   0.421689E+05  -0.100737E-02   0.222986E+05   0.222962E+05   0.479368E-03
   0.174696E+01   0.371509E+05   0.369678E+05  -0.290970E-03  -0.296716E-03   0.226817E+02   0.369549E+05   0.371221E+05   0.369549E+05  -0.882814E-03   0.195415E+05   0.195394E+05   0.388168E-03
   0.188957E+01   0.325402E+05   0.323798E+05  -0.217841E-03  -0.222143E-03   0.170315E+02   0.323685E+05   0.325150E+05   0.323685E+05  -0.773250E-03   0.171162E+05   0.171144E+05   0.314129E-03
   0.193472E+01   0.312654E+05   0.311113E+05  -0.199653E-03  -0.203596E-03   0.156223E+02   0.311005E+05   0.312412E+05   0.311005E+05  -0.742957E-03   0.164457E+05   0.164440E+05   0.294715E-03
   0.240388E+01   0.216052E+05   0.214987E+05  -0.893675E-04  -0.911324E-04   0.703658E+01   0.214912E+05   0.215885E+05   0.214912E+05  -0.513402E-03   0.113644E+05   0.113632E+05   0.163511E-03
   0.298681E+01   0.148783E+05   0.148050E+05  -0.398643E-04  -0.406516E-04   0.315251E+01   0.147998E+05   0.148668E+05   0.147998E+05  -0.353551E-03   0.782601E+04   0.782520E+04   0.902980E-04
   0.371111E+01   0.102136E+05   0.101633E+05  -0.177264E-04  -0.180765E-04   0.140599E+01   0.101597E+05   0.102057E+05   0.101597E+05  -0.242706E-03   0.537240E+04   0.537185E+04   0.496172E-04
   0.461105E+01   0.699132E+04   0.695690E+04  -0.785975E-05  -0.801497E-05   0.624657E+00   0.695443E+04   0.698591E+04   0.695443E+04  -0.166134E-03   0.367745E+04   0.367708E+04   0.271060E-04
   0.572921E+01   0.477299E+04   0.474950E+04  -0.347575E-05  -0.354439E-05   0.276609E+00   0.474780E+04   0.476930E+04   0.474780E+04  -0.113420E-03   0.251060E+04   0.251035E+04   0.147010E-04
   0.711853E+01   0.325065E+04   0.323466E+04  -0.153333E-05  -0.156361E-05   0.122135E+00   0.323349E+04   0.324813E+04   0.323349E+04  -0.772448E-04   0.170985E+04   0.170968E+04   0.789568E-05
   0.884476E+01   0.220891E+04   0.219805E+04  -0.674917E-06  -0.688246E-06   0.537912E-01   0.219725E+04   0.220720E+04   0.219725E+04  -0.524901E-04   0.116189E+04   0.116178E+04   0.418144E-05
   0.109896E+02   0.149792E+04   0.149057E+04  -0.296461E-06  -0.302316E-06   0.236372E-01   0.149002E+04   0.149677E+04   0.149002E+04  -0.355950E-04   0.787910E+03   0.787838E+03   0.216708E-05
   0.136545E+02   0.101384E+04   0.100887E+04  -0.129972E-06  -0.132539E-06   0.103654E-01   0.100849E+04   0.101306E+04   0.100849E+04  -0.240918E-04   0.533281E+03   0.533236E+03   0.108382E-05
   0.169657E+02   0.684972E+03   0.681625E+03  -0.568798E-07  -0.580032E-07   0.453711E-02   0.681361E+03   0.684446E+03   0.681361E+03  -0.162770E-04   0.360297E+03   0.360271E+03   0.508245E-06
   0.210799E+02   0.462012E+03   0.459765E+03  -0.248506E-07  -0.253415E-07   0.198250E-02   0.459578E+03   0.461659E+03   0.459578E+03  -0.109788E-04   0.243020E+03   0.243007E+03   0.207981E-06
   0.261917E+02   0.311137E+03   0.309634E+03  -0.108400E-07  -0.110541E-07   0.864855E-03   0.309500E+03   0.310901E+03   0.309500E+03  -0.739363E-05   0.163660E+03   0.163655E+03   0.559254E-07
   0.325432E+02   0.209220E+03   0.208220E+03  -0.472132E-08  -0.481459E-08   0.376723E-03   0.208120E+03   0.209063E+03   0.208120E+03  -0.497178E-05   0.110051E+03   0.110052E+03  -0.171546E-07
   0.404348E+02   0.140485E+03   0.139824E+03  -0.205334E-08  -0.209391E-08   0.163863E-03   0.139748E+03   0.140381E+03   0.139748E+03  -0.333844E-05   0.738957E+02   0.739016E+02  -0.487915E-07
   0.502402E+02   0.941977E+02   0.937662E+02  -0.891706E-09  -0.909328E-09   0.711717E-04   0.937057E+02   0.941299E+02   0.937057E+02  -0.223853E-05   0.495487E+02   0.495576E+02  -0.592033E-07
   0.624233E+02   0.630712E+02   0.627941E+02  -0.386661E-09  -0.394305E-09   0.308705E-04   0.627436E+02   0.630277E+02   0.627436E+02  -0.149888E-05   0.331761E+02   0.331872E+02  -0.591849E-07
   0.775608E+02   0.421668E+02   0.419936E+02  -0.167393E-09  -0.170705E-09   0.133691E-04   0.419496E+02   0.421396E+02   0.419496E+02  -0.100213E-05   0.221803E+02   0.221930E+02  -0.544236E-07
   0.963691E+02   0.281444E+02   0.280414E+02  -0.723359E-10  -0.737680E-10   0.578085E-05   0.280014E+02   0.281282E+02   0.280014E+02  -0.668925E-06   0.148046E+02   0.148184E+02  -0.478529E-07
   0.119738E+03   0.187492E+02   0.186935E+02  -0.311906E-10  -0.318089E-10   0.249464E-05   0.186559E+02   0.187404E+02   0.186559E+02  -0.445671E-06   0.986267E+01   0.987736E+01  -0.409329E-07
   0.148775E+03   0.124611E+02   0.124375E+02  -0.134123E-10  -0.136787E-10   0.107416E-05   0.124013E+02   0.124574E+02   0.124013E+02  -0.296253E-06   0.655518E+01   0.657050E+01  -0.343443E-07
   0.184852E+03   0.825741E+01   0.825551E+01  -0.574690E-11  -0.586142E-11   0.461174E-06   0.821989E+01   0.825711E+01   0.821989E+01  -0.196365E-06   0.434407E+01   0.435979E+01  -0.283640E-07
   0.229678E+03   0.545079E+01   0.546380E+01  -0.245077E-11  -0.249984E-11   0.197289E-06   0.542826E+01   0.545284E+01   0.542826E+01  -0.129675E-06   0.286786E+01   0.288374E+01  -0.230698E-07
   0.285375E+03   0.358031E+01   0.360371E+01  -0.103860E-11  -0.105954E-11   0.839860E-07   0.356783E+01   0.358399E+01   0.356783E+01  -0.852318E-07   0.188409E+01   0.189987E+01  -0.184524E-07
   0.354578E+03   0.233734E+01   0.236831E+01  -0.436632E-12  -0.445526E-12   0.355548E-07   0.233165E+01   0.234221E+01   0.233165E+01  -0.557007E-07   0.123044E+01   0.124583E+01  -0.144799E-07
   0.440562E+03   0.151555E+01   0.155259E+01  -0.181833E-12  -0.185593E-12   0.149581E-07   0.151451E+01   0.152137E+01   0.151451E+01  -0.361801E-07   0.798415E+00   0.813118E+00  -0.111320E-07
   0.547397E+03   0.976844E+00   0.101957E+01  -0.749873E-13  -0.765724E-13   0.626524E-08   0.979123E+00   0.983556E+00   0.979123E+00  -0.233902E-07   0.515398E+00   0.529195E+00  -0.840747E-08
   0.680140E+03   0.628036E+00   0.676831E+00  -0.306721E-13  -0.313418E-13   0.262106E-08   0.632836E+00   0.635701E+00   0.632836E+00  -0.151178E-07   0.332373E+00   0.345199E+00  -0.629053E-08
   0.845072E+03   0.404990E+00   0.459984E+00  -0.124715E-13  -0.127573E-13   0.110490E-08   0.411765E+00   0.413629E+00   0.411765E+00  -0.983662E-08   0.215538E+00   0.227421E+00  -0.469042E-08
   0.105000E+04   0.263002E+00   0.323164E+00  -0.503542E-14  -0.515926E-14   0.470814E-09   0.271225E+00   0.272453E+00   0.271225E+00  -0.647927E-08   0.141269E+00   0.152117E+00  -0.344633E-08
