#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.185969E-03   0.197798E+08   0.197796E+08   0.223494E+08   0.222671E+08   0.197700E+08   0.197797E+08   0.197798E+08   0.197854E+08  -0.472886E+00   0.104429E+08   0.104429E+08   0.873841E+02
   0.205346E-03   0.197781E+08   0.197779E+08   0.215448E+08   0.214474E+08   0.197657E+08   0.197780E+08   0.197780E+08   0.197834E+08  -0.472835E+00   0.104420E+08   0.104419E+08   0.954976E+02
   0.226742E-03   0.197760E+08   0.197758E+08   0.206003E+08   0.204856E+08   0.197604E+08   0.197759E+08   0.197760E+08   0.197811E+08  -0.472775E+00   0.104409E+08   0.104408E+08   0.104134E+03
   0.250368E-03   0.197735E+08   0.197733E+08   0.195007E+08   0.193667E+08   0.197540E+08   0.197734E+08   0.197735E+08   0.197783E+08  -0.472701E+00   0.104395E+08   0.104394E+08   0.113248E+03
   0.276456E-03   0.197705E+08   0.197702E+08   0.182342E+08   0.180792E+08   0.197462E+08   0.197703E+08   0.197704E+08   0.197749E+08  -0.472613E+00   0.104379E+08   0.104378E+08   0.122764E+03
   0.305262E-03   0.197668E+08   0.197664E+08   0.167943E+08   0.166170E+08   0.197368E+08   0.197666E+08   0.197667E+08   0.197708E+08  -0.472507E+00   0.104359E+08   0.104358E+08   0.132565E+03
   0.337069E-03   0.197624E+08   0.197619E+08   0.151834E+08   0.149837E+08   0.197254E+08   0.197621E+08   0.197623E+08   0.197659E+08  -0.472380E+00   0.104335E+08   0.104334E+08   0.142487E+03
   0.372191E-03   0.197570E+08   0.197565E+08   0.134173E+08   0.131964E+08   0.197115E+08   0.197567E+08   0.197569E+08   0.197601E+08  -0.472229E+00   0.104306E+08   0.104305E+08   0.152308E+03
   0.410972E-03   0.197506E+08   0.197500E+08   0.115295E+08   0.112907E+08   0.196947E+08   0.197502E+08   0.197505E+08   0.197531E+08  -0.472049E+00   0.104272E+08   0.104270E+08   0.161743E+03
   0.453794E-03   0.197428E+08   0.197421E+08   0.957526E+07   0.932438E+07   0.196744E+08   0.197424E+08   0.197427E+08   0.197448E+08  -0.471836E+00   0.104230E+08   0.104227E+08   0.170441E+03
   0.501078E-03   0.197336E+08   0.197327E+08   0.763322E+07   0.737917E+07   0.196499E+08   0.197331E+08   0.197334E+08   0.197350E+08  -0.471585E+00   0.104180E+08   0.104177E+08   0.177998E+03
   0.553288E-03   0.197225E+08   0.197216E+08   0.580262E+07   0.555719E+07   0.196205E+08   0.197219E+08   0.197224E+08   0.197234E+08  -0.471291E+00   0.104120E+08   0.104117E+08   0.183968E+03
